district,crop,year,yield,yield_lag1,yield_lag2,yield_rolling_mean_3,yield_rolling_std_3,year_sin,year_cos,year_normalized,crop_encoded,district_encoded,crop_Areca nuts,crop_Avocados,"crop_Beans, dry",crop_Cabbages,crop_Cantaloupes and other melons,crop_Carrots and turnips,"crop_Cashew nuts, in shell","crop_Cassava, fresh",crop_Cauliflowers and broccoli,"crop_Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","crop_Cinnamon and cinnamon-tree flowers, raw","crop_Cloves (whole stems), raw",crop_Cocoa beans,"crop_Coconuts, in shell","crop_Coffee, green","crop_Cow peas, dry",crop_Cucumbers and gherkins,"crop_Edible roots and tubers with high starch or inulin content, n.e.c., fresh",crop_Eggplants (aubergines),"crop_Ginger, raw","crop_Groundnuts, excluding shelled",crop_Leeks and other alliaceous vegetables,crop_Lemons and limes,crop_Maize (corn),"crop_Mangoes, guavas and mangosteens",crop_Millet,crop_Mustard seed,crop_Natural rubber in primary forms,"crop_Nutmeg, mace, cardamoms, raw",crop_Okra,"crop_Onions and shallots, dry (excluding dehydrated)",crop_Oranges,"crop_Other beans, green","crop_Other fibre crops, raw, n.e.c.","crop_Other fruits, n.e.c.","crop_Other stimulant, spice and aromatic crops, n.e.c.","crop_Other vegetables, fresh n.e.c.","crop_Pepper (Piper spp.), raw",crop_Pineapples,crop_Plantains and cooking bananas,crop_Potatoes,"crop_Pumpkins, squash and gourds",crop_Rice,crop_Sesame seed,crop_Sorghum,crop_Soya beans,crop_Sugar cane,crop_Sweet potatoes,crop_Tea leaves,crop_Tomatoes,crop_Unmanufactured tobacco,rainfall,temperature,humidity,rainfall_temp_interaction,temp_humidity_interaction,rainfall_humidity_interaction
Sri Lanka,"Beans, dry",-1.414213562373095,1109.8,0.0,-1.290881472930463e-16,-0.7702391157651148,0.0,-1.6243666123316338,0.6005829155139136,-1.414213562373095,2,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9577780049532321,0.41991081933052155,-0.33997599977703946,1.0425986478683813,0.36306468923444396,123524.7542105419
Sri Lanka,"Beans, dry",-0.7071067811865475,1111.0,-0.8398819470978999,-1.290881472930463e-16,-0.7701722733069586,-0.6292386415573986,-0.6382366916163119,1.0024645990987713,-0.7071067811865475,2,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.3853054141421488,1.3941213401819996,-1.398586165837717,-0.7041467813883762,1.0421488467469822,57014.91101668613
Sri Lanka,"Beans, dry",0.0,1111.2,-0.8397362932753667,-0.9882165805472901,-0.7701425655477779,-0.6293062303616889,0.3478932290990326,0.6005829155140008,0.0,2,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.3131752615630188,-0.8543454589401217,0.6676704167673548,-0.6482620381685422,-0.7458959133613978,92698.65872995154
Sri Lanka,"Beans, dry",0.7071067811865475,1110.7,-0.839712017638278,-0.9880462598445421,-0.7701091443186998,-0.6296803031299676,0.9573550374244058,-0.4515569915670581,0.7071067811865475,2,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.5760078023438676,-1.3989992532262125,-0.4415865462261763,-1.0593705270937785,-1.5561169710808918,81388.82305274095
Sri Lanka,"Beans, dry",1.414213562373095,1111.0,-0.839772706731,-0.9880178730607507,-0.7701091443186998,-0.6296803031299676,0.9573550374245068,-1.752073438559628,1.414213562373095,2,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.316710473095805,0.43931255265381075,1.5124782950735856,1.369180698782316,0.8967993484608636,143771.24192935717
Sri Lanka,Cabbages,-1.414213562373095,28071.6,0.0,-1.290881472930463e-16,2.233415864765959,0.0,-1.6243666123316338,0.6005829155139136,-1.414213562373095,3,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
Sri Lanka,Cabbages,-0.7071067811865475,27567.3,2.4326924132129726,-1.290881472930463e-16,2.2053253217257724,-0.36599894982183073,-0.6382366916163119,1.0024645990987713,-0.7071067811865475,3,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
Sri Lanka,Cabbages,0.0,26758.4,2.3714813942934354,2.838577355581226,2.16592354937758,-0.13966716448862915,0.3478932290990326,0.6005829155140008,0.0,3,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
Sri Lanka,Cabbages,0.7071067811865475,25656.9,2.2732985800875793,2.7670000802513295,2.076254391760898,0.07970756061379597,0.9573550374244058,-0.4515569915670581,0.7071067811865475,3,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
Sri Lanka,Cabbages,1.414213562373095,23050.2,2.139600508820734,2.6521897332072024,1.9085132430176528,0.7792770357249088,0.9573550374245068,-1.752073438559628,1.414213562373095,3,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
